title,url,price,cash_back,points,total,indicator
"Eyebrow Shaping Kit 4"" Curved Stainless Steel Eyebrow Scissors, Slant Tweezers, Eyebrow Razor, Eyebrow Comb Scissors And Double Eyebrow Brush for Women Eyebrow Eyelash Extensions",https://www.cashbackbase.com/offer/Eyebrow-Stainless-Scissors-Tweezers-Extensions/10042,6.99,6.98,140.0,0.009999999999999787,1.3999999999999702
"ShioSel, Cat Scratcher Cardboards Scratching Pads, Catnip Included",https://www.cashbackbase.com/offer/ShioSel-Scratcher-Cardboards-Included-16x8-3x1-6/10101,7.0,6.99,140.0,0.009999999999999787,1.3999999999999702
"ShioSel, Cat Scratcher Cardboards Scratching Pads, Catnip Included",https://www.cashbackbase.com/offer/ShioSel-Scratcher-Cardboards-Included-16x8-3x1-6/9705,7.0,6.99,140.0,0.009999999999999787,1.3999999999999702
PISSION Stainless Steel Spring Snap Hook Carabiner-Pack of 6,https://www.cashbackbase.com/offer/PISSION-Stainless-Steel-Spring-Carabiner-Pack/10040,9.99,9.97,199.0,0.019999999999999574,3.979999999999915
"12 Pack Disposable Scalpels Blades#10 Sterile Scalpel Knives, Non-Slip Plastic Rule Handle, Individually Pouch, for Biology Lab Anatomy, Practicing Cut, Medical Student, Sculpting, Podiatry",https://www.cashbackbase.com/offer/Disposable-Non-Slip-Individually-Practicing-Sculpting/10043,8.99,8.96,179.0,0.02999999999999936,5.3699999999998855
2 Pack 18mm by 14mm Stem Clear Scientic Glass Tube Downstem Adapter (3 inch),https://www.cashbackbase.com/offer/Pack-Clear-Scientic-Glass-Adapter/10041,9.99,9.96,199.0,0.02999999999999936,5.969999999999873
"in-Ear Lightning Earphones Earbuds Headphones-Mic and Volume Remote and Noise Isolation, MFI-Certified, Compatible with iPhone X/XS/XR/XS Max, 7/7P, 8/8P iPad, iPod",https://www.cashbackbase.com/offer/Certified-Microphone-Noise-Isolating-Headphones-Black/7263,14.99,14.98,1498.0,0.009999999999999787,14.97999999999968
Apple MFi Certified Lightning Earbuds Headphones Earphones - with Microphone and Compact Controller Made for iPhone 11/11 Pro Max/iPhone X/XR/XS Max iPhone 8/P iPhone 7/P in-Ear (Black),https://www.cashbackbase.com/offer/Certified-Microphone-Noise-Isolating-Headphones-Black/6510,14.99,14.98,1498.0,0.009999999999999787,14.97999999999968
"in-Ear Lightning Earphones Earbuds Headphones-Mic and Volume Remote and Noise Isolation, MFI-Certified, Compatible with iPhone X/XS/XR/XS Max, 7/7P, 8/8P iPad, iPod",https://www.cashbackbase.com/offer/in-ear-lightning-earphones-earbuds-headphones-mic-and-volume-remote-and-noise-isolation-mfi-certified-compatible-with-iphone-xxsxrxs-max-77p-88p-ipad-ipod/7416,14.99,14.98,1498.0,0.009999999999999787,14.97999999999968
"in-Ear Lightning Earphones Earbuds Headphones-Mic and Volume Remote and Noise Isolation, MFI-Certified, Compatible with iPhone X/XS/XR/XS Max, 7/7P, 8/8P iPad, iPod",https://www.cashbackbase.com/offer/in-ear-lightning-earphones-earbuds-headphones-mic-and-volume-remote-and-noise-isolation-mfi-certified-compatible-with-iphone-xxsxrxs-max-77p-88p-ipad-ipod/7334,14.99,14.98,1498.0,0.009999999999999787,14.97999999999968
Desk Mat PU Leather Office Desk Blotter Pad  Desktop on Top of Computer Laptop Writing Gaming Décor Accessories Table Topper Protector Under Keyboard Mousepad Pads Waterproof 10x12 Inches Gray+White,https://www.cashbackbase.com/offer/Computer-Accessories-Protector-Keyboard-Waterproof/6221,9.99,9.89,198.0,0.09999999999999964,19.79999999999993
Furniture Anchors for Baby Proofing(12 Pack) baby proofing cabinet locks child wall safesafety,https://www.cashbackbase.com/offer/Furniture-Proofing-Installation-Adjustable-Earthquake-Resistant/6837,9.99,9.97,997.0,0.019999999999999574,19.939999999999575
"Protective Case for AirPods Pro, Electroplating TPU Cover with Key Chain Compatible with AirPods Pro (Front LED Visible), Black",https://www.cashbackbase.com/offer/Protective-AirPods-Electroplating-Compatible-Visible/9844,4.99,4.74,95.0,0.25,23.75
"Medical Grade Stainless Steel Gua Sha Scraping Massage Tool Guasha Tool Gua Sha Facial Tool Professional Sha Board Soft Tissue Mobilization Tool Scraper Used for Body Face,Back,Legs,Arms,Neck,Shoulder",https://www.cashbackbase.com/offer/Stainless-Scraping-Professional-Mobilization-Shoulder/5531,12.99,12.86,257.0,0.13000000000000078,33.4100000000002
"Vinyl Fence Hangers Patio Light Hooks 2""X 6"" Powder Coated Rustproof Steel Hangers for Hanging on Top of 2"" Wide Vinyl Fences garden",https://www.cashbackbase.com/offer/Hangers-Powder-Coated-Rustproof-Hanging/9544,18.99,18.89,378.0,0.09999999999999787,37.799999999999194
Soft Plastic Drawer Organzier Storage Tray Bins Set for Kitchen Dresser Bathroom Bedroom Office Desk Closet. 2 Large + 4 Medium,https://www.cashbackbase.com/offer/Plastic-Organzier-Storage-Kitchen-Bathroom/9503,12.99,12.95,1295.0,0.040000000000000924,51.8000000000012
"Food Storage Containers [24 Pack] 32 oz Plastic Containers with Lids, Deli, Slime, Soup, Meal Prep Containers | BPA Free | Stackable | Leakproof | Microwave/Dishwasher/Freezer Safe",https://www.cashbackbase.com/offer/Freshware-YH-S32X24-Food-Container-32/6114,11.99,11.69,234.0,0.3000000000000007,70.20000000000016
"Coching Toilet Paper Holder Brushed Nickel, Stainless Steel Toilet Paper Holder and Dispenser Wall Mounted for Bathroom & Kitchen, Sqaure Style (Silver)",https://www.cashbackbase.com/offer/Coching-Brushed-Stainless-Dispenser-Bathroom/8355,11.99,11.69,234.0,0.3000000000000007,70.20000000000016
"Mangotek Lightning to 3.5 mm Headphone Jack Adapter for iPhone 7 7P 8 8P X XR XS XS Max 11, MFi Certified Audio Headphones Adapter for Apple All iOS System Black",https://www.cashbackbase.com/offer/Mangotek-Lightning-Headphone-Certified-Headphones/9810,11.89,11.19,224.0,0.7000000000000011,156.80000000000024
Instant Pot Cheat Sheet Magnet Set (2pcs) Electric Pressure Cooker Times Cookbook - Clear and Easy Cooking Time and Liquid Ratio Instructions - Pressure Cooker Accessories -Insta Pot Sticker,https://www.cashbackbase.com/offer/Instant-Magnet-Electric-Pressure-Cookbook/7001,10.49,9.55,191.0,0.9399999999999995,179.5399999999999
